agent,chaos_level,episode,reward_total,delay_mean,queue_mean,gini_mean,cvar_95,teleports_total,collisions_total,steps
ppo_ideal,0.0,1,-285167.3405403331,853.9861111111111,45.956944444444446,0.434909908949501,3702.8611111111113,0,0,720
ppo_ideal,0.0,2,-188806.9005530231,571.7291666666666,33.65694444444444,0.4587988565882875,3301.1111111111113,0,0,720
ppo_ideal,0.0,3,-181060.99650564196,546.0333333333333,32.00138888888889,0.4634097483423021,3430.25,0,0,720
ppo_ideal,0.0,4,-140973.55140558333,417.3875,26.794444444444444,0.4719972480709354,2489.472222222222,0,0,720
ppo_ideal,0.0,5,-160440.64322897495,485.9291666666667,29.816666666666666,0.43908902303212216,2956.972222222222,0,0,720
ppo_ideal,0.0,6,-161338.1167055674,469.3513888888889,28.506944444444443,0.4894291924416191,2587.6944444444443,0,0,720
ppo_ideal,0.0,7,-198033.56684096158,581.4444444444445,35.19861111111111,0.4891983377850718,3075.4444444444443,0,0,720
ppo_ideal,0.0,8,-281468.1328590833,846.6541666666667,48.548611111111114,0.43626323649659754,4600.444444444444,0,0,720
ppo_ideal,0.0,9,-189329.22006767915,566.6944444444445,34.30694444444445,0.45379660962563423,2873.9166666666665,0,0,720
ppo_ideal,0.0,10,-181101.6275329687,553.9555555555555,33.275,0.4329978378179173,3530.722222222222,0,0,720
ppo_chaos,0.0,1,-212609.18631900326,616.0944444444444,33.64861111111111,0.5008625879780286,2967.5,0,0,720
ppo_chaos,0.0,2,-162876.57472335623,486.8208333333333,29.781944444444445,0.4748829785010053,2743.1388888888887,0,0,720
ppo_chaos,0.0,3,-118861.07224807143,352.93055555555554,21.72361111111111,0.5045011484788524,2421.277777777778,0,0,720
ppo_chaos,0.0,4,-179639.97817231342,533.2444444444444,33.49027777777778,0.4434174644139906,2593.3055555555557,0,0,720
ppo_chaos,0.0,5,-141038.746365951,428.0152777777778,25.745833333333334,0.46456650903241503,3043.9444444444443,0,0,720
ppo_chaos,0.0,6,-189956.8215728447,565.9583333333334,33.040277777777774,0.4838961705772413,3421.4166666666665,0,0,720
ppo_chaos,0.0,7,-239957.7428757295,722.3180555555556,41.57361111111111,0.46501331356250575,3988.1388888888887,0,0,720
ppo_chaos,0.0,8,-285492.7579561293,859.1583333333333,46.62777777777778,0.45073127837644683,4521.916666666667,0,0,720
ppo_chaos,0.0,9,-189329.22006767915,566.6944444444445,34.30694444444445,0.45379660962563423,2873.9166666666665,0,0,720
ppo_chaos,0.0,10,-224952.4956116356,673.8069444444444,37.15555555555556,0.42775746127590536,3184.222222222222,0,0,720
Fixed,0.0,1,-221234.26164705754,667.4152777777778,33.0875,0.4887113289700614,4746.166666666667,0,0,720
Fixed,0.0,2,-134392.70378581807,393.68055555555554,21.766666666666666,0.5032582676762508,2615.8888888888887,0,0,720
Fixed,0.0,3,-270510.1111570649,802.1625,38.22638888888889,0.46718128270780046,4492.444444444444,0,0,720
Fixed,0.0,4,-18574272.108729005,53693.768055555556,114.40833333333333,0.49448485649708246,347031.9166666667,0,0,720
Fixed,0.0,5,-224220.6752617806,668.7722222222222,33.333333333333336,0.4971076934287945,4996.138888888889,0,0,720
Fixed,0.0,6,-198697.72111917956,590.3986111111111,29.405555555555555,0.49176444064618813,4494.916666666667,0,0,720
Fixed,0.0,7,-136257.02888275086,413.73333333333335,23.038888888888888,0.4751337164392074,3832.8333333333335,0,0,720
Fixed,0.0,8,-107035.71481015906,315.40277777777777,19.913888888888888,0.47923523221785824,2233.3055555555557,0,0,720
Fixed,0.0,9,-175757.46090057568,516.7944444444445,31.918055555555554,0.4729671322947575,2744.4166666666665,0,0,720
Fixed,0.0,10,-209878.72365567985,607.6486111111111,32.915277777777774,0.4862206281473239,3525.6388888888887,0,0,720
MaxPressure,0.0,1,-148377.42946069984,447.8222222222222,28.230555555555554,0.4709697254622976,2966.6111111111113,0,0,720
MaxPressure,0.0,2,-343199.0217094027,1039.1888888888889,52.81666666666667,0.44778569167893795,5912.611111111111,0,0,720
MaxPressure,0.0,3,-171156.74117834045,501.90694444444443,29.72361111111111,0.5052832330577075,3108.472222222222,0,0,720
MaxPressure,0.0,4,-152747.34941641762,465.74861111111113,27.113888888888887,0.4307843352667987,3569.222222222222,0,0,720
MaxPressure,0.0,5,-125702.00476925448,374.69305555555553,24.081944444444446,0.4768739317336844,2382.1666666666665,0,0,720
MaxPressure,0.0,6,-151819.47061521263,453.6013888888889,28.04861111111111,0.4952343296880523,2985.8888888888887,0,0,720
MaxPressure,0.0,7,-135237.3945037499,400.01666666666665,25.301388888888887,0.5184930729162361,2719.0833333333335,0,0,720
MaxPressure,0.0,8,-339223.3583798737,1030.675,54.15833333333333,0.4562887957112657,5465.527777777777,0,0,720
MaxPressure,0.0,9,-138702.1307679944,414.2861111111111,25.431944444444444,0.49967948145543534,2950.1388888888887,0,0,720
MaxPressure,0.0,10,-240385.33313181848,728.0486111111111,39.74444444444445,0.4399682028633025,4090.027777777778,0,0,720
CoLight,0.0,1,-86072.47561044991,250.35555555555555,16.743055555555557,0.5165537520829174,2242.1944444444443,0,0,720
CoLight,0.0,2,-135364.9937983852,394.3861111111111,22.377777777777776,0.49580462215364807,2819.6388888888887,0,0,720
CoLight,0.0,3,-95762.84582597985,279.875,17.6125,0.5034528980549011,2799.3611111111113,0,0,720
CoLight,0.0,4,-82295.29096772149,244.4611111111111,15.248611111111112,0.4971804061180188,2350.0555555555557,0,0,720
CoLight,0.0,5,-10234414.834184736,33083.16388888889,115.37222222222222,0.35386196636698314,321644.0,0,0,720
CoLight,0.0,6,-99338.26348661259,283.8611111111111,20.947222222222223,0.4706642898730934,1919.138888888889,0,0,720
CoLight,0.0,7,-151469.84373455792,456.5138888888889,24.905555555555555,0.4960358081385493,3407.5833333333335,0,0,720
CoLight,0.0,8,-102833.5768996369,297.53194444444443,19.675,0.5318374983190248,2436.3055555555557,0,0,720
CoLight,0.0,9,-100452.80574072673,300.3666666666667,20.205555555555556,0.48150805892008874,2522.5555555555557,0,0,720
CoLight,0.0,10,-185225.96584418567,551.2194444444444,31.904166666666665,0.45863816752615905,4031.0555555555557,0,0,720
ppo_ideal,0.15,1,-448723.55556701426,1366.5902777777778,71.0875,0.3965535509917471,5782.583333333333,0,8,720
ppo_ideal,0.15,2,-224458.30240278505,682.05,39.170833333333334,0.42269630919003653,3634.3611111111113,0,8,720
ppo_ideal,0.15,3,-297492.6131684445,903.0777777777778,51.15416666666667,0.4046905946503911,4156.388888888889,0,14,720
ppo_ideal,0.15,4,-282947.3869749665,861.9222222222222,49.55416666666667,0.4064211804005835,4273.222222222223,0,10,720
ppo_ideal,0.15,5,-139537.79118100964,402.87083333333334,28.256944444444443,0.4999591713409043,2035.8333333333333,0,12,720
